embedding_a,embedding_b,pair,k,mean_dissimilarity,median_dissimilarity,n_cells
harmony_global,scpoli_global,harmony_global vs scpoli_global,20,0.997098760169882,1.0,399605
harmony_global,scpoli_global,harmony_global vs scpoli_global,50,0.9955795317746269,1.0,399605
harmony_global,scpoli_global,harmony_global vs scpoli_global,100,0.9939967401552934,1.0,399605
harmony_global,scpoli_global,harmony_global vs scpoli_global,200,0.9918091694026611,0.9974937343358397,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,5,0.9977128803582427,1.0,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,10,0.9970440038511674,1.0,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,20,0.9960357784624286,1.0,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,50,0.9941096868574617,1.0,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,100,0.9920490913041646,1.0,399605
harmony_global,scpoli_lineage,harmony_global vs scpoli_lineage,200,0.9891457015998265,0.9949748743718593,399605
harmony_global,scvi_global,harmony_global vs scvi_global,5,0.9961773362306389,1.0,399605
harmony_global,scvi_global,harmony_global vs scvi_global,10,0.9952661636124991,1.0,399605
harmony_global,scvi_global,harmony_global vs scvi_global,20,0.9940128068669973,1.0,399605
harmony_global,scvi_global,harmony_global vs scvi_global,50,0.9915996075400334,1.0,399605
harmony_global,scvi_global,harmony_global vs scvi_global,100,0.9889883065108059,0.9949748743718593,399605
harmony_global,scvi_global,harmony_global vs scvi_global,200,0.9853802516726744,0.9924433249370277,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,5,0.9972715218977152,1.0,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,10,0.9967634812219806,1.0,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,20,0.9960101349623396,1.0,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,50,0.9945662251214312,1.0,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,100,0.9930200849403146,1.0,399605
harmony_global,scvi_lineage,harmony_global vs scvi_lineage,200,0.9909544353449307,0.9974937343358397,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,5,0.9993842729218912,1.0,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,10,0.9991530365411722,1.0,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,20,0.998769266714893,1.0,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,50,0.9978887236907614,1.0,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,100,0.9967618614674504,1.0,399605
harmony_lineage,scpoli_global,harmony_lineage vs scpoli_global,200,0.9950031131878131,1.0,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,5,0.9970156640793897,1.0,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,10,0.996065382198087,1.0,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,20,0.9946533506001933,1.0,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,50,0.99174262742444,1.0,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,100,0.9883677276046295,0.9949748743718593,399605
harmony_lineage,scpoli_lineage,harmony_lineage vs scpoli_lineage,200,0.9835295892391351,0.9924433249370277,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,5,0.9968425069756386,1.0,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,10,0.9960407052810278,1.0,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,20,0.9947317920052996,1.0,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,50,0.9919020727826651,1.0,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,100,0.9885799097500175,0.9949748743718593,399605
harmony_lineage,scvi_global,harmony_lineage vs scvi_global,200,0.9838249704884587,0.9924433249370277,399605
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,5,0.9927642435794234,1.0,399605
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,10,0.9913688473952551,1.0,399605
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,20,0.9891777352027568,1.0,399605
